date,high,low,open,close,volume,jdate
2022-10-17,1311260,1310590,1311240,1311099,2815070501,1401-07-25
2022-10-18,1313870,1311480,1311480,1312563,2488357450,1401-07-26
2022-10-19,1312490,1310160,1312480,1310166,2030745102,1401-07-27
2022-10-22,1311950,1308940,1311140,1308960,2397785819,1401-07-30
2022-10-23,1309410,1296790,1309410,1296798,3069738522,1401-08-01
2022-10-24,1295740,1277730,1295740,1277737,3472720212,1401-08-02
2022-10-25,1277690,1267050,1277440,1267061,3278342203,1401-08-03
2022-10-26,1266700,1241030,1266700,1241044,4712224520,1401-08-04
2022-10-29,1247070,1243480,1243480,1244627,4401161572,1401-08-07
2022-10-30,1254460,1245160,1245160,1254465,3568132950,1401-08-08
2022-10-31,1269830,1255020,1255020,1269833,3845518105,1401-08-09
2022-11-01,1280460,1270990,1270990,1280456,3809854928,1401-08-10
2022-11-02,1283540,1279310,1280550,1283541,3508984882,1401-08-11
2022-11-05,1328320,1285820,1285820,1328324,6342982065,1401-08-14
2022-11-06,1344670,1332340,1332340,1344676,5752446089,1401-08-15
2022-11-07,1389750,1347170,1347170,1389753,7914594060,1401-08-16
2022-11-08,1413250,1400470,1400470,1407734,11288502166,1401-08-17
2022-11-09,1414340,1402660,1406710,1414348,8349630989,1401-08-18
2022-11-12,1426920,1417180,1417180,1426096,6303846352,1401-08-21
2022-11-13,1425510,1419120,1425510,1419140,5889104181,1401-08-22
2022-11-14,1419020,1408100,1419020,1408174,5068396946,1401-08-23
2022-11-15,1411070,1408500,1408500,1410460,4049050227,1401-08-24
2022-11-16,1413590,1409680,1410530,1413574,4106520700,1401-08-25
2022-11-19,1411960,1393060,1411960,1393064,5308220696,1401-08-28
2022-11-20,1404640,1396160,1396160,1404627,5729570568,1401-08-29
2022-11-21,1409280,1406340,1406340,1408598,6907390911,1401-08-30
2022-11-22,1408220,1406690,1408220,1407654,5825842203,1401-09-01
2022-11-23,1411240,1408300,1408300,1410188,5155785427,1401-09-02
2022-11-26,1412180,1408200,1411030,1408209,5213994431,1401-09-05
2022-11-27,1408070,1405730,1408070,1406190,5023683573,1401-09-06
2022-11-28,1408340,1406900,1406900,1408348,4910959865,1401-09-07
2022-11-29,1414200,1408340,1408340,1414205,4917791296,1401-09-08
2022-11-30,1418470,1415100,1415100,1417372,3888551923,1401-09-09
2022-12-03,1419190,1417120,1417560,1417720,4059188164,1401-09-12
2022-12-04,1419720,1417830,1418280,1417840,5357446033,1401-09-13
2022-12-05,1418560,1413600,1418200,1413605,4511480985,1401-09-14
2022-12-06,1413620,1409400,1413620,1409404,4960379527,1401-09-15
2022-12-07,1410860,1402820,1410860,1402830,7208061842,1401-09-16
2022-12-10,1402200,1383730,1402200,1383738,6152820063,1401-09-19
2022-12-11,1389360,1383740,1383740,1389362,5763284724,1401-09-20
2022-12-12,1409370,1389860,1389860,1409355,7419930511,1401-09-21
2022-12-13,1454480,1412120,1412120,1454482,8943466037,1401-09-22
2022-12-14,1474250,1462130,1462130,1472760,6401465487,1401-09-23
2022-12-17,1472250,1468910,1472250,1469933,5832408297,1401-09-26
2022-12-18,1500240,1472740,1472740,1500242,8079761479,1401-09-27
2022-12-19,1505280,1499680,1501030,1500909,9426158789,1401-09-28
2022-12-20,1501040,1492090,1501040,1492095,6776675269,1401-09-29
2022-12-21,1496370,1492600,1492600,1496201,6185140338,1401-09-30
2022-12-24,1538000,1500750,1500750,1538003,10103385881,1401-10-03
2022-12-25,1563560,1547140,1547140,1563567,10776995540,1401-10-04
2022-12-26,1576410,1563160,1566820,1576397,9446689906,1401-10-05
2022-12-28,1647310,1588820,1588820,1647314,15175183890,1401-10-07
2022-12-31,1619840,1590490,1619840,1590496,13499382402,1401-10-10
2023-01-01,1591830,1564080,1588760,1564366,10681553690,1401-10-11
2023-01-02,1593350,1569250,1569250,1593285,9614056360,1401-10-12
2023-01-03,1602700,1591350,1597310,1591354,14545269147,1401-10-13
2023-01-04,1589030,1578840,1589030,1579115,9460687460,1401-10-14
2023-01-07,1598060,1584390,1584390,1598061,13160395820,1401-10-17
2023-01-08,1635900,1609560,1609560,1635229,15530820650,1401-10-18
